description,family_pk,id,iso_code,jsondata,latitude,longitude,macroarea,markup_description,name,pk,representation,vol
,7,lsi33Tibeto-Burman-Paite Chin,pck,{},24.0,93.1666666667,Eurasia,,Paite Chin,84,72,1
,6,lsi94Indo-Aryan-Palpa,plp,{},27.87,83.39,Eurasia,,Palpa,171,72,1
,6,lsi52Indo-Aryan-Panchpargania,tdb,{},23.356777,85.322401,Eurasia,,Panchpargania,153,72,1
,7,lsi33Tibeto-Burman-Pangkhua,pkh,{},22.5298,93.29,Eurasia,,Pangkhua,82,72,1
,6,lsi94Indo-Aryan-Pangwali,pgg,{},32.33,76.07,Eurasia,,Pangwali,192,72,1
,6,lsi92Indo-Aryan-Patani Gujarati,guj,{},23.51,72.07,Eurasia,,Patani Gujarati,90,288,1
,7,lsi31Tibeto-Burman-Pattani,lae,{},32.6862,76.5965,Eurasia,,Pattani,222,144,1
,6,lsi81Indo-Aryan-Peshawar Hindko,hnd,{},34.000163,71.509836,Eurasia,,Peshawar Hindko,219,72,1
,7,lsi32Tibeto-Burman-Plains Kachari,xac,{},26.7255,89.3332,Eurasia,,Plains Kachari,210,144,1
,6,lsi82Indo-Aryan-Poguli,kas,{},33.3150296,74.1385444,Eurasia,,Poguli,16,360,1
,6,lsi81Indo-Aryan-Porthwari,phr,{},33.64,73.81,Eurasia,,Porthwari,145,144,1
,1,lsi82Nuristani-Prasuni,prn,{},35.1731,70.8004,,,Prasuni,117,72,1
,6,lsi91Indo-Aryan-Punjabi,pan,{},30.0368,75.6702,Eurasia,,Punjabi,79,72,1
,7,lsi31Tibeto-Burman-Purik,prx,{},34.428,75.751,Eurasia,,Purik,115,72,1
,7,lsi33Tibeto-Burman-Purum,pub,{},25.3887,95.0935,Eurasia,,Purum,217,72,1
,7,lsi32Tibeto-Burman-Rabha,rah,{},25.82,91.17,Eurasia,,Rabha,111,72,1
,6,lsi51Indo-Aryan-Rajbangsi,rjs,{},26.52,88.04,Eurasia,,Rajbangsi,99,72,1
,7,lsi33Tibeto-Burman-Ralte,ral,{},23.8192,93.6884,Eurasia,,Ralte,212,72,1
,6,lsi82Indo-Aryan-Rambani,kas,{},33.2408967,75.2313264,Eurasia,,Rambani,18,360,1
,6,lsi94Indo-Aryan-Rampuri,bfz,{},28.783565,79.019351,Eurasia,,Rampuri,200,432,1
,6,lsi93Indo-Aryan-Rangari,khn,{},21.32,74.14,Eurasia,,Rangari,144,144,1
,7,lsi31Tibeto-Burman-Rangkas,rgk,{},29.2278,80.0845,Eurasia,,Rangkas,187,144,1
,6,lsi94Indo-Aryan-Rathi,gbm,{},30.15,78.78,Eurasia,,Rathi,108,288,1
,6,lsi93Indo-Aryan-Rathwi Bareli01,bgd,{},22.03,74.9,Eurasia,,Rathwi Bareli01,204,72,1
,7,lsi32Tibeto-Burman-Rongmei Naga,nbu,{},25.3499,93.6463,Eurasia,,Rongmei Naga,2,72,1
,7,lsi31Tibeto-Burman-Rungchenbung,bap,{},27.1215,87.0474,Eurasia,,Rungchenbung,61,72,1
,6,lsi52Indo-Aryan-Sadri-02,sck,{},23.6585,84.8114,Eurasia,,Sadri-02,208,72,1
,7,lsi31Tibeto-Burman-Sangpang,rav,{},27.2999,87.0019,Eurasia,,Sangpang,1,72,1
,5,lsi41Munda-Santali,sat,{},25.03,87.82,Eurasia,,Santali,67,72,1
,6,lsi81Indo-Aryan-Saraiki-Multan,skr,{},30.19901,71.483105,Eurasia,,Saraiki-Multan,23,144,1
,6,lsi71Indo-Aryan-Sarasvat Brahmin,gom,{},14.822959,74.141793,Eurasia,,Sarasvat Brahmin,121,288,1
,8,lsi41Dravidian-Sauria Paharia,mjt,{},25.0,87.3333333333,Eurasia,,Sauria Paharia,177,72,1
,7,lsi31Tibeto-Burman-Sherpa,xsr,{},27.67,87.0,Eurasia,,Sherpa,140,72,1
,6,lsi94Indo-Aryan-Shimla Siraji,bfz,{},31.0088,77.5317,Eurasia,,Shimla Siraji,123,432,1
,6,lsi82Indo-Aryan-Shina-Dras,scl,{},34.602922,76.510141,Eurasia,,Shina-Dras,138,288,1
,7,lsi31Tibeto-Burman-Sikkimese,sip,{},27.410786,89.581604,Eurasia,,Sikkimese,54,72,1
,6,lsi81Indo-Aryan-Sindhi,snd,{},31.341797,71.696999,Eurasia,,Sindhi,120,216,1
,7,lsi32Tibeto-Burman-Singhpho,sgp,{},25.4634,97.3278,Eurasia,,Singhpho,24,72,1
,6,lsi82Indo-Aryan-Siraji of Doda,kas,{},32.0988901,74.8769975,Eurasia,,Siraji Of Doda,105,360,1
,6,lsi93Indo-Aryan-Siyalgir,bhb,{},22.424,87.319,Eurasia,,Siyalgir,231,144,1
,7,lsi33Tibeto-Burman-Siyin Chin,csy,{},23.8192,93.6884,Eurasia,,Siyin Chin,126,72,1
,6,lsi94Indo-Aryan-Sodochi,bfz,{},31.0088,77.5317,Eurasia,,Sodochi,197,432,1
,5,lsi41Munda-Sora,srb,{},21.2606,85.5845,Eurasia,,Sora,221,72,1
,6,lsi94Indo-Aryan-Soracholi,bfz,{},30.815517,78.205923,Eurasia,,Soracholi,136,432,1
,6,lsi51Indo-Aryan-South-Western Bengali,ben,{},22.424,87.319,Eurasia,,South-Western Bengali,69,216,1
,6,lsi82Indo-Aryan-Southeast Pashai,psi,{},34.43,70.3,Eurasia,,Southeast Pashai,183,72,1
,7,lsi32Tibeto-Burman-Southern Rengma Naga,nsm,{},26.0,94.42,Eurasia,,Southern Rengma Naga,95,144,1
